date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:20:39	3942/3942	---M--	200	added ('OK')	image/jpeg	etag:%22f66-3fe1634c20c80%22	http://www.hawaii4two.com/vrbo.jpg	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/vrbo.jpg	(from http://www.hawaii4two.com/)
19:20:39	149/149	---M--	200	added ('OK')	image/gif	etag:%2295-3fa3e51f41900%22	http://www.hawaii4two.com/blubar.gif	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/blubar.gif	(from http://www.hawaii4two.com/)
19:20:39	5228/5228	---M--	200	added ('OK')	text/html	etag:%22146c-4e2d276ae8140%22	http://www.hawaii4two.com/sitemap.htm	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/sitemap.html	(from http://www.hawaii4two.com/)
19:20:39	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20May%202015%2005:20:39%20GMT	http://www.hawaii4two.com/form.php	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/form.php	(from http://www.hawaii4two.com/contact.htm)
19:20:40	7795/7795	---M--	200	added ('OK')	image/jpeg	etag:%221e73-3fa3e57bc3340%22	http://www.hawaii4two.com/message.jpg	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/message.jpg	(from http://www.hawaii4two.com/contact.htm)
19:20:40	692/692	---M--	200	added ('OK')	image/gif	etag:%222b4-3fa3e52406440%22	http://www.hawaii4two.com/cnthd.gif	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/cnthd.gif	(from http://www.hawaii4two.com/contact.htm)
19:20:40	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20May%202015%2005:20:40%20GMT	http://www.hawaii4two.com/form.php	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/form.php	(from http://www.hawaii4two.com/contact.htm)
19:20:40	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20May%202015%2005:20:40%20GMT	http://www.hawaii4two.com/form.php	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/form.php	(from http://www.hawaii4two.com/links.htm)
19:20:41	7816/7816	---M--	200	added ('OK')	image/jpeg	etag:%221e88-3fa3e57422140%22	http://www.hawaii4two.com/link2.jpg	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/link2.jpg	(from http://www.hawaii4two.com/links.htm)
19:20:41	461/461	---M--	200	added ('OK')	image/gif	etag:%221cd-3fa3e577f2a40%22	http://www.hawaii4two.com/lnkhd.gif	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/lnkhd.gif	(from http://www.hawaii4two.com/links.htm)
19:20:41	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20May%202015%2005:20:41%20GMT	http://www.hawaii4two.com/form.php	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/form.php	(from http://www.hawaii4two.com/links.htm)
19:20:41	245/245	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2027%20May%202015%2005:20:41%20GMT	http://www.hawaii4two.com/form.php	/home/eric/httrack/hawaii4two.com/hawaii4two/www.hawaii4two.com/form.php	(from http://www.hawaii4two.com/where.htm)
